channel_name,channel_type,channel_hole
S1_D1,Motor,Hole1(D1-B2)
S1_D8,Motor,Hole9(D8-B2)
S1_D14,Motor,Hole20(D6-B3)
S2_D2,Motor,Hole2(B2-D2)
S2_D3,Motor,Hole3(B2-D3)
S2_D8,Motor,Hole9(D8-D2)
S2_D9,Motor,Hole13(D1-B3)
S2_D11,Parietal,Hole16(D3-B3)
S3_D4,Parietal,Hole4(D4-B2)
S3_D5,Parietal,Hole5(D5-B2)
S3_D9,Motor,hole13(D1-B3)
S3_D10,Parietal,Hole14(D2-B3)
S3_D12,Parietal,Hole17(D4-B3)
S4_D6,Parietal,Hole6(|D6-B2)
S4_D7,Parietal,Hole7(D7-B2)
S4_D10,Parietal,Hole14(D2-B3)
S4_D13,Parietal,Hole19(D5-B3)
S5_D8,Motor,Hole9(D8-B1)
S5_D11,Parietal,Hole16(D3-B3)
S5_D14,Motor,Hole20(D6-B3)
S5_D15,Motor,Hole21(D7-B3)
S6_D10,Parietal,Hole14(D2-B3)
S6_D12,Parietal,Hole17(D4-B3)
S6_D13,Parietal,Hole19(D5-B3)
